model,training_setting,decode_mode,eval_instances,acceptance_rate,on_time_rate,late_orders,average_lateness,max_lateness,total_energy_consumption,total_flight_distance,hard_constraint_violations,reaches_80_50,eval50_ran,rl_allowed
A_current,"5 epochs, accept=0.5, route=2.0, lateness=1.0",service_policy_lateness_guarded,20,0.8983333333333333,0.4601113172541744,291,21.873191371664053,54.86225543997829,111.18616452260993,1906.1790368855,0,false,false,false
B_route_focused,"5 epochs, accept=0.2, route=3.0, lateness=2.0, on_time=2.0",service_policy_lateness_guarded,20,0.9416666666666667,0.4389380530973451,317,22.960943039898314,60.73958370462013,118.25812433235716,2003.569810539484,0,false,false,false
C_lateness_focused,"5 epochs, accept=0.1, route=3.0, lateness=3.0, on_time=2.0, risky_penalty=2.0",service_policy_lateness_guarded,20,0.9483333333333334,0.4305799648506151,324,25.19417925058159,67.26813123855258,122.7442510930702,2119.88406123966,0,false,false,false
D_pairwise,"5 epochs, accept=0.1, route=2.0, lateness=2.0, on_time=2.0, risky_penalty=2.0, pairwise=1.0",service_policy_lateness_guarded,20,0.9383333333333334,0.4564831261101243,306,22.62939800144304,59.32763425321767,126.91787658623642,2073.5648620054126,0,false,false,false
