eval_instances,seeds,acceptance_mean,acceptance_std,acceptance_min,on_time_mean,on_time_std,on_time_min,pass_count,total_seeds,all_seed_pass
50,"0,1,2",0.7986666666666666,0.008128596070298626,0.7873333333333333,0.535206205967567,0.014965055411777744,0.5232558139534884,2,3,False
100,"0,1,2",0.7962222222222222,0.006308919807368163,0.788,0.5300769389347062,0.009475645826183836,0.5182572614107884,1,3,False
