variant,eval_instances,eval_seed,acceptance_rate,on_time_rate,late_orders,average_lateness,max_lateness,hard_constraint_violations,reaches_80_50
final_full,100,0,0.8136666666666666,0.5231462515362556,1164,19.993842676401872,63.901284682461394,0,True
no_assignment_loss,100,0,0.8163333333333334,0.4679461004491629,1303,25.014386850124016,73.00800240432376,0,False
no_pairwise_loss,100,0,0.752,0.5704787234042553,969,21.04602653242756,59.81668626966187,0,False
no_risky_accept_penalty,100,0,0.814,0.5421785421785422,1118,21.879402919017593,65.29361114547287,0,True
ep10_continuation_rejected,100,0,0.75,0.5826666666666667,939,19.975020358856522,58.969517523488534,0,False
