eval_instances,seeds,acceptance_mean,acceptance_std,acceptance_min,on_time_mean,on_time_std,on_time_min,pass_count,total_seeds,all_seed_pass
50,"0,1,2",0.806,0.010198039027185529,0.796,0.540744080206125,0.007949624822223635,0.5341463414634147,2,3,False
100,"0,1,2",0.8036666666666666,0.007118052168020881,0.7976666666666666,0.5331742072060076,0.007097252352284458,0.5231462515362556,1,3,False
200,0,0.8155,0.0,0.8155,0.5323932147966483,0.0,0.5323932147966483,1,1,True
