scenario,model_tag,method,method_label,seeds,cost_best_mean,cost_best_std,cost_mean_mean,cost_mean_std,cost_worst_mean,cost_worst_std
ablate_no_accept_reject,main,heuristic,Heuristic,1,728.0029296875,0.0,847.3844604492188,0.0,907.9443359375,0.0
ablate_no_accept_reject,main,local_search_truck,Truck Local Search,1,260.3153991699219,0.0,323.7835998535156,0.0,365.30023193359375,0.0
ablate_no_accept_reject,main,model,HGAT-POMO,1,199.81317138671875,0.0,238.591552734375,0.0,287.2703857421875,0.0
ablate_no_accept_reject,main,profit_accept,Profit Accept,1,728.7593994140625,0.0,856.19482421875,0.0,978.861083984375,0.0
ablate_no_accept_reject,main,random,Random,1,672.0241088867188,0.0,948.8086547851562,0.0,1155.02587890625,0.0
ablate_no_accept_reject,main,truck_only,Truck Only,1,225.26126098632812,0.0,237.63348388671875,0.0,250.0707550048828,0.0
ablate_no_pickup_capacity,main,heuristic,Heuristic,1,201.33148193359375,0.0,244.3767852783203,0.0,308.5575256347656,0.0
ablate_no_pickup_capacity,main,local_search_truck,Truck Local Search,1,170.40884399414062,0.0,296.6939392089844,0.0,404.6854248046875,0.0
ablate_no_pickup_capacity,main,model,HGAT-POMO,1,76.08592224121094,0.0,120.80404663085938,0.0,176.68585205078125,0.0
ablate_no_pickup_capacity,main,profit_accept,Profit Accept,1,191.2862091064453,0.0,210.79776000976562,0.0,244.2987823486328,0.0
ablate_no_pickup_capacity,main,random,Random,1,254.03280639648438,0.0,363.70928955078125,0.0,522.2230224609375,0.0
ablate_no_pickup_capacity,main,truck_only,Truck Only,1,147.21920776367188,0.0,248.40847778320312,0.0,299.4138488769531,0.0
ablate_no_time_traffic,main,heuristic,Heuristic,1,183.68484497070312,0.0,222.63121032714844,0.0,311.642578125,0.0
ablate_no_time_traffic,main,local_search_truck,Truck Local Search,1,114.77627563476562,0.0,145.50051879882812,0.0,164.31825256347656,0.0
ablate_no_time_traffic,main,model,HGAT-POMO,1,67.47122192382812,0.0,95.06153869628906,0.0,135.39678955078125,0.0
ablate_no_time_traffic,main,profit_accept,Profit Accept,1,183.43133544921875,0.0,217.76858520507812,0.0,252.99942016601562,0.0
ablate_no_time_traffic,main,random,Random,1,169.89083862304688,0.0,267.0109558105469,0.0,349.52838134765625,0.0
ablate_no_time_traffic,main,truck_only,Truck Only,1,101.60676574707031,0.0,131.41311645507812,0.0,165.02476501464844,0.0
full_backup,backup,heuristic,Heuristic,1,201.539794921875,0.0,241.79898071289062,0.0,289.65081787109375,0.0
full_backup,backup,local_search_truck,Truck Local Search,1,156.82040405273438,0.0,192.66940307617188,0.0,243.87985229492188,0.0
full_backup,backup,model,HGAT-POMO,1,74.58122253417969,0.0,105.95040130615234,0.0,142.28103637695312,0.0
full_backup,backup,profit_accept,Profit Accept,1,191.75634765625,0.0,222.98171997070312,0.0,249.91189575195312,0.0
full_backup,backup,random,Random,1,237.41549682617188,0.0,408.6571044921875,0.0,827.4718017578125,0.0
full_backup,backup,truck_only,Truck Only,1,100.12974548339844,0.0,156.68026733398438,0.0,196.56610107421875,0.0
full_main,main,heuristic,Heuristic,1,201.539794921875,0.0,241.79898071289062,0.0,289.65081787109375,0.0
full_main,main,local_search_truck,Truck Local Search,1,156.82040405273438,0.0,192.66940307617188,0.0,243.87985229492188,0.0
full_main,main,model,HGAT-POMO,1,70.88336944580078,0.0,99.92716979980469,0.0,138.9228515625,0.0
full_main,main,profit_accept,Profit Accept,1,191.75634765625,0.0,222.98171997070312,0.0,249.91189575195312,0.0
full_main,main,random,Random,1,215.5384063720703,0.0,313.43658447265625,0.0,416.38690185546875,0.0
full_main,main,truck_only,Truck Only,1,100.12974548339844,0.0,156.68026733398438,0.0,196.56610107421875,0.0
