scenario,model_tag,seeds,cost_best_mean,cost_best_std,cost_mean_mean,cost_mean_std,cost_worst_mean,cost_worst_std,delta_cost_best_vs_full_main,delta_cost_mean_vs_full_main,delta_cost_worst_vs_full_main,accept_rate_mean,accept_rate_std,delta_accept_rate_vs_full_main,on_time_rate_mean,on_time_rate_std,delta_on_time_rate_vs_full_main,avg_lateness_mean,avg_lateness_std,delta_avg_lateness_vs_full_main,total_revenue_mean,total_revenue_std,delta_total_revenue_vs_full_main,total_energy_mean,total_energy_std,delta_total_energy_vs_full_main
ablate_no_accept_reject,main,1,199.81317138671875,0.0,238.591552734375,0.0,287.2703857421875,0.0,128.92980194091797,138.6643829345703,148.3475341796875,0.0,0.0,0.0,0.3166666626930237,0.0,-0.0833333432674408,9.938796043395996,0.0,4.960267066955566,37.02793884277344,0.0,18.978851318359375,5.989887237548828,0.0,2.709568977355957
ablate_no_pickup_capacity,main,1,76.08592224121094,0.0,120.80404663085938,0.0,176.68585205078125,0.0,5.202552795410156,20.876876831054688,37.76300048828125,0.0,0.0,0.0,0.46666669845581055,0.0,0.06666669249534607,5.006683826446533,0.0,0.028154850006103516,18.049087524414062,0.0,0.0,2.7241673469543457,0.0,-0.5561509132385254
ablate_no_time_traffic,main,1,67.47122192382812,0.0,95.06153869628906,0.0,135.39678955078125,0.0,-3.4121475219726562,-4.865631103515625,-3.52606201171875,0.0,0.0,0.0,0.4000000059604645,0.0,0.0,4.76762580871582,0.0,-0.21090316772460938,18.049087524414062,0.0,0.0,3.2006728649139404,0.0,-0.07964539527893066
