scenario,model_tag,seed,method,method_label,cost_best_mean,cost_mean_mean,cost_worst_mean,accept_rate,reject_rate,on_time_rate,avg_lateness,total_revenue,total_energy,metrics_path
full_main,main,0,model,HGAT-POMO,120.65618896484375,148.41510009765625,182.86514282226562,0.018000001087784767,0.9820000529289246,0.30484235286712646,9.116920471191406,15.967181205749512,3.7148501873016357,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed0.json
full_main,main,0,random,Random,293.8614807128906,426.1455383300781,625.9771728515625,0.012000000104308128,0.9879999756813049,0.14372876286506653,23.455244064331055,15.831089973449707,6.138293266296387,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed0.json
full_main,main,0,truck_only,Truck Only,157.47088623046875,198.26136779785156,252.4385986328125,0.05400000140070915,0.9460000395774841,0.24144744873046875,12.141343116760254,16.460128784179688,2.2610995769500732,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed0.json
full_main,main,0,heuristic,Heuristic,315.57965087890625,375.7066345214844,479.6959228515625,0.0,1.0,0.06666667014360428,26.183242797851562,15.619132041931152,6.4800801277160645,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed0.json
full_main,main,0,local_search_truck,Truck Local Search,181.48651123046875,232.57968139648438,298.6595764160156,0.0833333283662796,0.9166667461395264,0.20701469480991364,13.659924507141113,17.208894729614258,2.5552525520324707,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed0.json
full_main,main,0,profit_accept,Profit Accept,310.6231689453125,351.0879821777344,397.1793212890625,0.0006666667177341878,0.9993333220481873,0.07066666334867477,25.719585418701172,15.626559257507324,6.475254058837891,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed0.json
full_main,main,1,model,HGAT-POMO,118.53843688964844,143.36050415039062,173.92298889160156,0.02199999988079071,0.9780000448226929,0.2994959354400635,8.987666130065918,16.313400268554688,3.6677637100219727,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed1.json
full_main,main,1,random,Random,290.5444030761719,411.5494079589844,573.503173828125,0.01666666753590107,0.9833333492279053,0.1313605159521103,23.361581802368164,16.35704803466797,6.162022113800049,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed1.json
full_main,main,1,truck_only,Truck Only,157.0796356201172,195.67550659179688,249.61257934570312,0.04466667026281357,0.9553333520889282,0.24269619584083557,12.252320289611816,16.7144832611084,2.268671989440918,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed1.json
full_main,main,1,heuristic,Heuristic,294.16949462890625,356.6593322753906,456.708740234375,0.0026666668709367514,0.9973333477973938,0.07379657030105591,24.57699203491211,16.035083770751953,6.44765567779541,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed1.json
full_main,main,1,local_search_truck,Truck Local Search,181.7953338623047,232.34494018554688,302.22882080078125,0.06266666203737259,0.937333345413208,0.1985585242509842,13.698328018188477,17.2323055267334,2.5464372634887695,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed1.json
full_main,main,1,profit_accept,Profit Accept,291.44317626953125,330.390380859375,368.95196533203125,0.0013333334354683757,0.9986667037010193,0.06991666555404663,24.378087997436523,15.994571685791016,6.429513454437256,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed1.json
full_main,main,2,model,HGAT-POMO,117.14319610595703,143.9904327392578,176.11216735839844,0.023333335295319557,0.9766666889190674,0.30561357736587524,8.814404487609863,15.345196723937988,3.5804436206817627,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed2.json
full_main,main,2,random,Random,286.69366455078125,408.7587890625,582.4517822265625,0.01400000136345625,0.9860000014305115,0.14548856019973755,22.806053161621094,15.192931175231934,5.967413425445557,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed2.json
full_main,main,2,truck_only,Truck Only,153.84701538085938,190.51361083984375,239.08216857910156,0.06533333659172058,0.9346666932106018,0.25078481435775757,11.809867858886719,16.22386932373047,2.186281681060791,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed2.json
full_main,main,2,heuristic,Heuristic,294.7923278808594,349.96417236328125,445.9942932128906,0.0020000000949949026,0.9980000257492065,0.07513479888439178,24.254657745361328,14.979928970336914,6.3342366218566895,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed2.json
full_main,main,2,local_search_truck,Truck Local Search,180.29022216796875,229.24334716796875,297.3154602050781,0.08533333986997604,0.9146666526794434,0.19199258089065552,13.500316619873047,16.586669921875,2.483809232711792,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed2.json
full_main,main,2,profit_accept,Profit Accept,292.7672119140625,329.4169921875,367.482421875,0.0006666667177341878,0.9993333220481873,0.07725000381469727,24.075342178344727,14.9491548538208,6.3179216384887695,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_main_seed2.json
full_backup,backup,0,model,HGAT-POMO,121.0375747680664,152.69236755371094,190.2634735107422,0.03666666895151138,0.9633334279060364,0.30361929535865784,9.032315254211426,16.350967407226562,3.605043888092041,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed0.json
full_backup,backup,0,random,Random,299.3514404296875,426.9031982421875,601.8558349609375,0.01600000075995922,0.984000027179718,0.1368243545293808,23.921825408935547,15.884127616882324,6.1855621337890625,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed0.json
full_backup,backup,0,truck_only,Truck Only,157.47088623046875,198.26136779785156,252.4385986328125,0.05400000140070915,0.9460000395774841,0.24144744873046875,12.141343116760254,16.460128784179688,2.2610995769500732,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed0.json
full_backup,backup,0,heuristic,Heuristic,315.57965087890625,375.7066345214844,479.6959228515625,0.0,1.0,0.06666667014360428,26.183242797851562,15.619132041931152,6.4800801277160645,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed0.json
full_backup,backup,0,local_search_truck,Truck Local Search,181.48651123046875,232.57968139648438,298.6595764160156,0.0833333283662796,0.9166667461395264,0.20701469480991364,13.659924507141113,17.208894729614258,2.5552525520324707,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed0.json
full_backup,backup,0,profit_accept,Profit Accept,310.6231689453125,351.0879821777344,397.1793212890625,0.0006666667177341878,0.9993333220481873,0.07066666334867477,25.719585418701172,15.626559257507324,6.475254058837891,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed0.json
full_backup,backup,1,model,HGAT-POMO,119.0989761352539,148.3102264404297,186.28834533691406,0.029999999329447746,0.9700000286102295,0.3014591932296753,8.878689765930176,16.480905532836914,3.53813099861145,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed1.json
full_backup,backup,1,random,Random,278.7261047363281,404.1654968261719,575.148193359375,0.007333333604037762,0.9926666021347046,0.13690850138664246,22.25664520263672,16.09229850769043,5.940304756164551,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed1.json
full_backup,backup,1,truck_only,Truck Only,157.0796356201172,195.67550659179688,249.61257934570312,0.04466667026281357,0.9553333520889282,0.24269619584083557,12.252320289611816,16.7144832611084,2.268671989440918,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed1.json
full_backup,backup,1,heuristic,Heuristic,294.16949462890625,356.6593322753906,456.708740234375,0.0026666668709367514,0.9973333477973938,0.07379657030105591,24.57699203491211,16.035083770751953,6.44765567779541,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed1.json
full_backup,backup,1,local_search_truck,Truck Local Search,181.7953338623047,232.34494018554688,302.22882080078125,0.06266666203737259,0.937333345413208,0.1985585242509842,13.698328018188477,17.2323055267334,2.5464372634887695,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed1.json
full_backup,backup,1,profit_accept,Profit Accept,291.44317626953125,330.390380859375,368.95196533203125,0.0013333334354683757,0.9986667037010193,0.06991666555404663,24.378087997436523,15.994571685791016,6.429513454437256,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed1.json
full_backup,backup,2,model,HGAT-POMO,117.08374786376953,145.7116241455078,181.50213623046875,0.02199999988079071,0.9780000448226929,0.28304409980773926,8.771466255187988,15.294970512390137,3.493525505065918,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed2.json
full_backup,backup,2,random,Random,285.5744323730469,413.6322326660156,576.1537475585938,0.012666666880249977,0.987333357334137,0.1374879777431488,22.610158920288086,15.1869535446167,5.938401699066162,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed2.json
full_backup,backup,2,truck_only,Truck Only,153.84701538085938,190.51361083984375,239.08216857910156,0.06533333659172058,0.9346666932106018,0.25078481435775757,11.809867858886719,16.22386932373047,2.186281681060791,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed2.json
full_backup,backup,2,heuristic,Heuristic,294.7923278808594,349.96417236328125,445.9942932128906,0.0020000000949949026,0.9980000257492065,0.07513479888439178,24.254657745361328,14.979928970336914,6.3342366218566895,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed2.json
full_backup,backup,2,local_search_truck,Truck Local Search,180.29022216796875,229.24334716796875,297.3154602050781,0.08533333986997604,0.9146666526794434,0.19199258089065552,13.500316619873047,16.586669921875,2.483809232711792,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed2.json
full_backup,backup,2,profit_accept,Profit Accept,292.7672119140625,329.4169921875,367.482421875,0.0006666667177341878,0.9993333220481873,0.07725000381469727,24.075342178344727,14.9491548538208,6.3179216384887695,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\full_backup_seed2.json
ablate_no_accept_reject,main,0,model,HGAT-POMO,273.2475891113281,322.9747009277344,381.1808166503906,0.0,0.0,0.24900002777576447,14.0490140914917,34.363929748535156,6.478725433349609,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed0.json
ablate_no_accept_reject,main,0,random,Random,954.00830078125,1219.212158203125,1496.5128173828125,0.0,0.0,0.09333334863185883,49.163143157958984,34.363929748535156,13.033909797668457,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed0.json
ablate_no_accept_reject,main,0,truck_only,Truck Only,325.6820983886719,353.8355407714844,381.603271484375,0.0,0.0,0.23333333432674408,16.89936065673828,34.363929748535156,4.132266521453857,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed0.json
ablate_no_accept_reject,main,0,heuristic,Heuristic,1015.2828369140625,1108.119873046875,1198.3636474609375,0.0,0.0,0.03333333134651184,52.953147888183594,34.363929748535156,13.727306365966797,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed0.json
ablate_no_accept_reject,main,0,local_search_truck,Truck Local Search,408.55548095703125,450.8808898925781,495.0911865234375,0.0,0.0,0.1860000044107437,20.55516815185547,34.363929748535156,5.002453327178955,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed0.json
ablate_no_accept_reject,main,0,profit_accept,Profit Accept,1003.626953125,1105.069091796875,1199.7501220703125,0.0,0.0,0.03500000014901161,52.376102447509766,34.363929748535156,13.554422378540039,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed0.json
ablate_no_accept_reject,main,1,model,HGAT-POMO,279.6178894042969,331.5611267089844,395.0820617675781,0.0,0.0,0.24799999594688416,14.428540229797363,34.3785285949707,6.59404182434082,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed1.json
ablate_no_accept_reject,main,1,random,Random,944.2842407226562,1207.55908203125,1496.9915771484375,0.0,0.0,0.0950000211596489,48.48486328125,34.3785285949707,13.143228530883789,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed1.json
ablate_no_accept_reject,main,1,truck_only,Truck Only,329.4465637207031,357.82098388671875,384.3501281738281,0.0,0.0,0.23000001907348633,17.17656707763672,34.3785285949707,4.097089767456055,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed1.json
ablate_no_accept_reject,main,1,heuristic,Heuristic,995.9752197265625,1092.7230224609375,1183.7520751953125,0.0,0.0,0.03500000014901161,52.07420349121094,34.3785285949707,13.588399887084961,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed1.json
ablate_no_accept_reject,main,1,local_search_truck,Truck Local Search,409.085693359375,451.41375732421875,495.1124267578125,0.0,0.0,0.1860000044107437,20.813522338867188,34.3785285949707,4.845874786376953,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed1.json
ablate_no_accept_reject,main,1,profit_accept,Profit Accept,1005.85107421875,1095.4169921875,1185.67041015625,0.0,0.0,0.033666666597127914,52.689453125,34.3785285949707,13.552481651306152,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed1.json
ablate_no_accept_reject,main,2,model,HGAT-POMO,266.22637939453125,317.45501708984375,372.5302734375,0.0,0.0,0.2516666650772095,13.729386329650879,33.08977127075195,6.2987799644470215,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed2.json
ablate_no_accept_reject,main,2,random,Random,961.7153930664062,1208.77880859375,1497.8330078125,0.0,0.0,0.08933334052562714,49.4196662902832,33.08977127075195,12.888516426086426,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed2.json
ablate_no_accept_reject,main,2,truck_only,Truck Only,319.55059814453125,346.573974609375,375.11248779296875,0.0,0.0,0.23533332347869873,16.629850387573242,33.08977127075195,3.897190809249878,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed2.json
ablate_no_accept_reject,main,2,heuristic,Heuristic,983.4569702148438,1080.11181640625,1178.1458740234375,0.0,0.0,0.03466666862368584,51.420005798339844,33.08977127075195,13.289935111999512,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed2.json
ablate_no_accept_reject,main,2,local_search_truck,Truck Local Search,390.92791748046875,437.8231506347656,482.8928527832031,0.0,0.0,0.19699996709823608,19.782913208007812,33.08977127075195,4.65264368057251,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed2.json
ablate_no_accept_reject,main,2,profit_accept,Profit Accept,986.639404296875,1080.5916748046875,1177.280517578125,0.0,0.0,0.034999996423721313,51.53770446777344,33.08977127075195,13.31884479522705,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_accept_reject_seed2.json
ablate_no_pickup_capacity,main,0,model,HGAT-POMO,119.25946044921875,159.60662841796875,216.9901123046875,0.0006666667177341878,0.9993333220481873,0.29379168152809143,9.162323951721191,15.62415885925293,3.1488542556762695,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed0.json
ablate_no_pickup_capacity,main,0,random,Random,296.9206848144531,430.7091369628906,614.5094604492188,0.00866666715592146,0.9913333058357239,0.11754738539457321,23.957347869873047,15.821283340454102,5.151592254638672,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed0.json
ablate_no_pickup_capacity,main,0,truck_only,Truck Only,164.51422119140625,257.23272705078125,370.3542175292969,0.02199999988079071,0.9780000448226929,0.2249305695295334,12.632485389709473,15.987508773803711,1.6595858335494995,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed0.json
