epoch,train_avg_cost,train_avg_loss,val_avg_cost,val_std_cost
0,154.9150676727295,275.2968492746353,127.9631576538086,35.884857177734375
1,120.82425346374512,70.0269888162613,103.38034057617188,20.625770568847656
2,105.84341831207276,50.13732877969742,98.761474609375,19.440872192382812
3,100.95079669952392,22.60440328121185,97.88679504394531,19.446889877319336
4,98.83115921020507,15.870429503917695,96.18309783935547,19.33259391784668
5,98.0481824874878,29.94161696434021,93.80195617675781,18.426048278808594
6,96.04464054107666,17.22102215886116,93.11347961425781,18.624629974365234
7,95.151446723938,16.90505518913269,93.77989196777344,19.367717742919922
8,95.04330234527588,12.680550384521485,91.0329818725586,17.825927734375
9,94.94492301940917,13.111934530735017,92.65801239013672,17.8793888092041
10,93.74902038574218,19.22116411328316,94.86775970458984,16.570938110351562
11,93.84874839782715,12.73448451757431,91.4715347290039,16.993852615356445
12,93.22481632232666,29.05511168241501,94.6795654296875,21.882183074951172
13,93.21594867706298,14.557397890090943,94.3802490234375,19.067853927612305
14,92.12743225097657,24.29214463233948,90.89503479003906,17.308162689208984
15,92.54369354248047,8.104549157619477,90.8480453491211,17.496952056884766
16,92.79160900115967,10.46030216217041,91.60778045654297,18.94507598876953
17,92.31308670043946,17.65943568944931,92.5871810913086,16.161998748779297
18,91.20617351531982,14.634657162427903,91.07317352294922,18.121896743774414
19,90.62570686340332,18.8048255443573,90.23748779296875,17.943828582763672
