experiment_name,method_name,response_window,delivery_window_extension,resource_count,order_density_ratio,acceptance_rate,acceptance_rate_gap_to_0_80,on_time_rate,on_time_rate_gap_to_0_50,late_orders,average_lateness,max_lateness,total_energy_consumption,total_flight_distance,hard_constraint_violations,reached_80_acceptance,reached_50_on_time,reached_both_targets,recommendation
response_window_original,raw_baseline,original,0.0,1,1.0,0.5244444444444445,0.27555555555555555,0.3241525423728814,0.17584745762711862,319,12.837166596299626,35.93654589246437,112.03286860151536,1650.194940149784,0,False,False,False,below_target
response_window_original,v2_repair_only,original,0.0,1,1.0,0.5044444444444445,0.29555555555555557,0.3039647577092511,0.19603524229074892,316,13.033510471243794,51.748750867173094,115.02219730373844,1723.6084504143723,0,False,False,False,below_target
response_window_original,oracle_best_acceptance,original,0.0,1,1.0,0.5788888888888889,0.22111111111111115,0.31094049904030713,0.18905950095969287,359,38.60931237442669,127.04264609392843,137.38717368858028,2242.234654136002,0,False,False,False,below_target
response_window_original,oracle_best_on_time,original,0.0,1,1.0,0.5733333333333334,0.22666666666666668,0.34108527131782945,0.15891472868217055,340,26.524330685990908,74.60597936196625,125.60425232012611,1997.479966275394,0,False,False,False,below_target
response_window_original,tail_risk_constrained_joint_beam,original,0.0,1,1.0,0.5244444444444445,0.27555555555555555,0.3241525423728814,0.17584745762711862,319,12.837166596299626,35.93654589246437,112.03286860151536,1650.194940149784,0,False,False,False,anchor_locked_safety_reference
response_window_1.0,raw_baseline,1.0,0.0,1,1.0,0.5244444444444445,0.27555555555555555,0.3241525423728814,0.17584745762711862,319,12.750331377114895,35.93654589246437,112.60632857704644,1647.7363013327122,0,False,False,False,below_target
response_window_1.0,v2_repair_only,1.0,0.0,1,1.0,0.5155555555555555,0.2844444444444445,0.32112068965517243,0.17887931034482757,315,13.043706081666272,47.40408944026933,114.23536100449142,1690.0544421076775,0,False,False,False,below_target
response_window_1.0,oracle_best_acceptance,1.0,0.0,1,1.0,0.6188888888888889,0.1811111111111111,0.3213644524236984,0.17863554757630162,378,47.11359388736073,154.53826290406496,159.72692736813158,2591.8484092205763,0,False,False,False,below_target
response_window_1.0,oracle_best_on_time,1.0,0.0,1,1.0,0.6277777777777778,0.17222222222222228,0.31327433628318585,0.18672566371681415,388,29.453111696998082,91.65537274645918,139.86841902250504,2153.9791490510106,0,False,False,False,below_target
response_window_1.0,tail_risk_constrained_joint_beam,1.0,0.0,1,1.0,0.5244444444444445,0.27555555555555555,0.3241525423728814,0.17584745762711862,319,12.750331377114895,35.93654589246437,112.60632857704644,1647.7363013327122,0,False,False,False,anchor_locked_safety_reference
response_window_2.0,raw_baseline,2.0,0.0,1,1.0,0.5388888888888889,0.2611111111111112,0.3134020618556701,0.1865979381443299,333,12.618236175720176,35.952108588192914,113.36410173735237,1649.4634743796119,0,False,False,False,below_target
response_window_2.0,v2_repair_only,2.0,0.0,1,1.0,0.54,0.26,0.3683127572016461,0.13168724279835392,307,12.956748511781882,36.20399672025158,110.77334635909541,1627.2795365873963,0,False,False,False,below_target
response_window_2.0,oracle_best_acceptance,2.0,0.0,1,1.0,0.7822222222222223,0.01777777777777778,0.29829545454545453,0.20170454545454547,494,61.00625385707743,154.53826290406496,212.4927342792294,3421.544582361115,0,False,False,False,below_target
response_window_2.0,oracle_best_on_time,2.0,0.0,1,1.0,0.7544444444444445,0.04555555555555557,0.2709867452135493,0.22901325478645068,495,34.0383880775561,113.5095911324588,175.6482509478034,2576.605925410986,2,False,False,False,invalid_hard_constraint_violation
response_window_2.0,tail_risk_constrained_joint_beam,2.0,0.0,1,1.0,0.5388888888888889,0.2611111111111112,0.3134020618556701,0.1865979381443299,333,12.618236175720176,35.952108588192914,113.36410173735237,1649.4634743796119,0,False,False,False,anchor_locked_safety_reference
response_window_3.0,raw_baseline,3.0,0.0,1,1.0,0.5677777777777778,0.23222222222222222,0.3424657534246575,0.15753424657534248,336,13.332445113426214,35.82128278325279,118.76933300223959,1716.846345807876,0,False,False,False,below_target
response_window_3.0,v2_repair_only,3.0,0.0,1,1.0,0.5644444444444444,0.23555555555555563,0.3779527559055118,0.1220472440944882,316,13.542629826442376,37.1676924981272,118.82094142983738,1737.6072416321763,0,False,False,False,below_target
