experiment_name,method_name,eval_instances,response_window,delivery_window_extension,resource_count,order_density_ratio,acceptance_rate,acceptance_rate_gap_to_0_80,on_time_rate,on_time_rate_gap_to_0_50,late_orders,average_lateness,max_lateness,total_energy_consumption,total_flight_distance,hard_constraint_violations,reached_80_acceptance,reached_50_on_time,reached_both_targets,recommendation
combined_D,raw_baseline,50,5.0,3.0,2,1.0,0.5933333333333334,0.20666666666666667,0.5449438202247191,-0.0449438202247191,405,8.624550159961801,25.731183975331817,234.70353848602846,3815.0240050661223,0,False,True,False,on_time_target_only
combined_D,v2_repair_only,50,5.0,3.0,2,1.0,0.5813333333333334,0.21866666666666668,0.5779816513761468,-0.07798165137614677,368,8.870040110530676,27.031143486215832,233.7524309054813,3799.228657205799,0,False,True,False,on_time_target_only
combined_D,tail_risk_constrained_joint_beam,50,5.0,3.0,2,1.0,0.5933333333333334,0.20666666666666667,0.5449438202247191,-0.0449438202247191,405,8.624550159961801,25.731183975331817,234.70353848602846,3815.0240050661223,0,False,True,False,on_time_target_only
combined_D,oracle_best_acceptance,50,5.0,3.0,2,1.0,0.9546666666666667,-0.15466666666666662,0.48044692737430167,0.01955307262569833,744,21.409173910035015,63.5156147783552,374.6547976809077,6211.427026535835,0,True,False,False,acceptance_target_only
combined_D,oracle_best_on_time,50,5.0,3.0,2,1.0,0.9146666666666666,-0.11466666666666658,0.5189504373177842,-0.01895043731778423,660,24.145694345360976,66.11044801620857,396.8881822612774,6401.769881346954,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_E,raw_baseline,50,5.0,4.0,3,1.0,0.582,0.21800000000000008,0.6907216494845361,-0.19072164948453607,270,6.485439710299808,24.096367549637158,241.59750725444985,4151.960345678031,0,False,True,False,on_time_target_only
combined_E,v2_repair_only,50,5.0,4.0,3,1.0,0.5906666666666667,0.20933333333333337,0.6997742663656885,-0.1997742663656885,266,6.890058866956117,28.04970369238562,247.93814715985866,4291.242861144245,0,False,True,False,on_time_target_only
combined_E,tail_risk_constrained_joint_beam,50,5.0,4.0,3,1.0,0.582,0.21800000000000008,0.6907216494845361,-0.19072164948453607,270,6.485439710299808,24.096367549637158,241.59750725444985,4151.960345678031,0,False,True,False,on_time_target_only
combined_E,oracle_best_acceptance,50,5.0,4.0,3,1.0,0.9126666666666666,-0.11266666666666658,0.5887509130752374,-0.08875091307523741,563,14.92236027231034,48.79292286823201,394.3654024027239,6931.750887693597,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_E,oracle_best_on_time,50,5.0,4.0,3,1.0,0.8873333333333333,-0.08733333333333326,0.6333583771600301,-0.13335837716003007,488,16.02988193521379,53.21341301863219,412.534479560017,7041.879661239684,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_F,raw_baseline,50,8.0,5.0,2,1.0,0.6186666666666667,0.18133333333333335,0.6196120689655172,-0.11961206896551724,353,8.593668278894146,28.579150649615983,237.96026817124056,3864.9236761768975,0,False,True,False,on_time_target_only
combined_F,v2_repair_only,50,8.0,5.0,2,1.0,0.6166666666666667,0.18333333333333335,0.6562162162162162,-0.15621621621621617,318,8.957186928350028,38.73350213563727,243.56297843564175,3915.068106456629,0,False,True,False,on_time_target_only
combined_F,tail_risk_constrained_joint_beam,50,8.0,5.0,2,1.0,0.6186666666666667,0.18133333333333335,0.6196120689655172,-0.11961206896551724,353,8.593668278894146,28.579150649615983,237.96026817124056,3864.9236761768975,0,False,True,False,on_time_target_only
combined_F,oracle_best_acceptance,50,8.0,5.0,2,1.0,0.9946666666666667,-0.19466666666666665,0.5368632707774799,-0.03686327077747986,691,21.391745046949303,71.1063464890587,395.9837111810734,6504.047871490219,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_F,oracle_best_on_time,50,8.0,5.0,2,1.0,0.9893333333333333,-0.18933333333333324,0.5451482479784366,-0.04514824797843664,675,24.69979234631413,71.80611366674974,420.2812748438669,6759.799542102482,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_G,raw_baseline,50,8.0,5.0,3,1.0,0.6113333333333333,0.18866666666666676,0.7131952017448201,-0.2131952017448201,263,6.648702605941664,22.20375063194715,252.98332023973927,4343.840430283679,0,False,True,False,on_time_target_only
combined_G,v2_repair_only,50,8.0,5.0,3,1.0,0.6113333333333333,0.18866666666666676,0.7262813522355507,-0.22628135223555068,251,6.644553003043646,21.268877668741297,250.0752928338412,4317.672331215574,0,False,True,False,on_time_target_only
combined_G,tail_risk_constrained_joint_beam,50,8.0,5.0,3,1.0,0.6113333333333333,0.18866666666666676,0.7131952017448201,-0.2131952017448201,263,6.648702605941664,22.20375063194715,252.98332023973927,4343.840430283679,0,False,True,False,on_time_target_only
combined_G,oracle_best_acceptance,50,8.0,5.0,3,1.0,0.9786666666666667,-0.17866666666666664,0.6083106267029973,-0.10831062670299729,575,15.85450592769406,52.41374963092093,431.2731712398924,7517.838689795664,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_G,oracle_best_on_time,50,8.0,5.0,3,1.0,0.9686666666666667,-0.16866666666666663,0.629043358568479,-0.12904335856847904,539,17.683158085181056,52.52256837508741,456.36274211516246,7778.122109729316,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_D,raw_baseline,100,5.0,3.0,2,1.0,0.6033333333333334,0.19666666666666666,0.569060773480663,-0.06906077348066297,780,8.943758925453052,27.03040745267235,472.6602753710864,7660.213066440254,0,False,True,False,on_time_target_only
combined_D,v2_repair_only,100,5.0,3.0,2,1.0,0.5983333333333334,0.20166666666666666,0.596100278551532,-0.09610027855153203,725,9.23148725961049,32.25149708358974,473.94345630841667,7673.529427495995,0,False,True,False,on_time_target_only
combined_D,tail_risk_constrained_joint_beam,100,5.0,3.0,2,1.0,0.6033333333333334,0.19666666666666666,0.569060773480663,-0.06906077348066297,780,8.943758925453052,27.03040745267235,472.6602753710864,7660.213066440254,0,False,True,False,on_time_target_only
combined_D,oracle_best_acceptance,100,5.0,3.0,2,1.0,0.9366666666666666,-0.1366666666666666,0.48718861209964415,0.012811387900355853,1441,21.240214031617832,67.48375105184013,734.2870565947392,12187.253600530988,0,True,False,False,acceptance_target_only
combined_D,oracle_best_on_time,100,5.0,3.0,2,1.0,0.9116666666666666,-0.11166666666666658,0.5243144424131627,-0.024314442413162718,1301,23.620671697994673,66.22181494111433,781.4924340260026,12590.779829528365,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_E,raw_baseline,100,5.0,4.0,3,1.0,0.5883333333333334,0.21166666666666667,0.691784702549575,-0.19178470254957503,544,6.9293811339847755,26.276958591895998,492.72073092029933,8474.79334722946,0,False,True,False,on_time_target_only
combined_E,v2_repair_only,100,5.0,4.0,3,1.0,0.5926666666666667,0.20733333333333337,0.703037120359955,-0.20303712035995503,528,7.157209754132139,28.04970369238562,496.6320525431852,8631.024375246598,0,False,True,False,on_time_target_only
combined_E,tail_risk_constrained_joint_beam,100,5.0,4.0,3,1.0,0.5883333333333334,0.21166666666666667,0.691784702549575,-0.19178470254957503,544,6.9293811339847755,26.276958591895998,492.72073092029933,8474.79334722946,0,False,True,False,on_time_target_only
combined_E,oracle_best_acceptance,100,5.0,4.0,3,1.0,0.9096666666666666,-0.10966666666666658,0.5954562110663246,-0.09545621106632463,1104,14.97577876883271,50.83259097042198,779.6940259091251,13659.81940662182,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_E,oracle_best_on_time,100,5.0,4.0,3,1.0,0.8743333333333333,-0.07433333333333325,0.6412504765535646,-0.1412504765535646,941,16.163347446142065,53.21341301863219,815.4176429686904,13943.987848170764,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_F,raw_baseline,100,8.0,5.0,2,1.0,0.63,0.17000000000000004,0.6312169312169312,-0.13121693121693123,697,8.711775511864198,28.579150649615983,484.55280236202464,7794.852734394071,0,False,True,False,on_time_target_only
combined_F,v2_repair_only,100,8.0,5.0,2,1.0,0.627,0.17300000000000004,0.6624136097820308,-0.1624136097820308,635,9.332503723609776,38.73350213563727,492.96098824579707,7942.721501205297,0,False,True,False,on_time_target_only
combined_F,tail_risk_constrained_joint_beam,100,8.0,5.0,2,1.0,0.63,0.17000000000000004,0.6312169312169312,-0.13121693121693123,697,8.711775511864198,28.579150649615983,484.55280236202464,7794.852734394071,0,False,True,False,on_time_target_only
combined_F,oracle_best_acceptance,100,8.0,5.0,2,1.0,0.991,-0.19099999999999995,0.5290951900437268,-0.02909519004372685,1400,21.549207894037007,71.93158172941463,783.3162888908879,12927.60789985276,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_F,oracle_best_on_time,100,8.0,5.0,2,1.0,0.9856666666666667,-0.18566666666666665,0.5431180250253635,-0.04311802502536355,1351,24.343071266367723,71.80611366674974,847.5982268463364,13575.179402396745,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_G,raw_baseline,100,8.0,5.0,3,1.0,0.6283333333333333,0.17166666666666675,0.713527851458886,-0.21352785145888598,540,6.8903413309033095,23.058534518881594,514.6583545685439,8813.643164858884,0,False,True,False,on_time_target_only
combined_G,v2_repair_only,100,8.0,5.0,3,1.0,0.6203333333333333,0.17966666666666675,0.721655024180548,-0.22165502418054805,518,6.711091638957521,29.18972874751826,505.3599383991581,8730.456793362697,0,False,True,False,on_time_target_only
combined_G,tail_risk_constrained_joint_beam,100,8.0,5.0,3,1.0,0.6283333333333333,0.17166666666666675,0.713527851458886,-0.21352785145888598,540,6.8903413309033095,23.058534518881594,514.6583545685439,8813.643164858884,0,False,True,False,on_time_target_only
combined_G,oracle_best_acceptance,100,8.0,5.0,3,1.0,0.971,-0.17099999999999993,0.6089941640920014,-0.10899416409200136,1139,15.588314484939534,54.819866427592544,863.9185165743016,14943.782503172455,0,True,True,True,reaches_80_50_with_zero_hard_violations
combined_G,oracle_best_on_time,100,8.0,5.0,3,1.0,0.966,-0.16599999999999993,0.63216011042098,-0.13216011042097997,1066,17.49037038867618,52.52256837508741,905.7487677267305,15389.93874137332,0,True,True,True,reaches_80_50_with_zero_hard_violations
