epoch,train_avg_cost,train_avg_loss,val_avg_cost,val_std_cost
20,85.31748025628585,11.539844751358032,89.40817260742188,17.903697967529297
21,85.71493172947365,10.8523865983456,92.88445281982422,17.54641342163086
22,84.84885319576988,8.338104358202294,92.33030700683594,17.518329620361328
23,84.92301042774055,11.3298719261266,90.40461730957031,16.527019500732422
24,84.28390338752843,10.967067707943011,90.43423461914062,17.620445251464844
25,84.48033364211457,4.060945574241348,93.93651580810547,20.509702682495117
26,84.61794203746167,4.677945041203801,94.63936614990234,19.681289672851562
27,84.68950199175485,7.305610051637964,94.98764038085938,21.594480514526367
28,84.41963118541089,4.567858339864997,93.83722686767578,18.612932205200195
29,83.98587383801424,6.876176376886006,91.13712310791016,16.605865478515625
30,83.97853561594516,4.477433708649647,93.49559783935547,18.51827049255371
31,83.94797699360907,5.233258067052575,89.6526107788086,16.3046817779541
32,83.82125545453421,2.7804712509807152,90.71231842041016,15.777113914489746
33,83.78663490391985,4.3710194207444975,91.21012878417969,18.250961303710938
34,83.39452941508233,6.581091307386568,94.09172821044922,20.75649642944336
35,83.58171149145198,9.95884141439124,89.59690856933594,15.813238143920898
36,83.79403474059286,14.172930958904798,89.5320053100586,16.126693725585938
37,83.76780043976217,7.94494026672991,87.858642578125,17.011940002441406
38,83.13545381570164,8.95288794251937,89.0704574584961,17.380319595336914
39,83.3346292036998,7.918743243700342,89.06991577148438,18.048906326293945
40,83.22527602956265,9.609474103662032,90.69597625732422,16.644060134887695
41,83.42519349689725,9.419991632051106,88.6963882446289,17.84853744506836
42,83.74276511276824,8.917262320277057,89.61907196044922,17.527175903320312
43,83.63961917539186,11.127341813678983,96.58551788330078,26.690696716308594
44,83.90396745899055,10.661744878261905,88.94579315185547,18.24676513671875
45,83.54912702343132,14.214172698274444,87.9399642944336,17.509347915649414
46,82.83617999885655,13.010503423364856,87.9781494140625,17.27314567565918
47,83.46477035329312,14.325018533422977,88.33786010742188,16.401668548583984
48,83.48272280149823,11.415265253827542,92.18587493896484,18.313570022583008
49,83.12762711923334,9.359316466729853,87.3285903930664,17.53809928894043
